content,score
kenapa tidak bisa upload video ya? padahal format dll sesuai loh....,3
"tolong dong ini kenapa ya kalo bikin setatus kualitas video nya burik,kalo ngirim video ke orang lain juga burik tolong di perbaiki 🙏🏻",5
Sangat senang,5
GK tau kenapa kok sering kena spam,5
Good,5
"kenapa lagi ni dari tahun kemarin hingga sekarang nomor telpfon saya yg setiap saya daftar kan di aplikasi ini slalu aja di bokir , ada masalah apa sih dgn aplikasi ini..",1
Bagus,5
Tampilan baru di story WhatsApp malah kayak status di Facebook jadi aneh. Mnding yang dulu wlwpn random statusnya tapi masih atas kebawah..parah banget... maunya modern malah sama kaya stori di IG dan FB..kembalikan seperti dulu yang sederhana dan mudah dimengerti,1
WhatsApp kadaluarsa,5
Jos,5
tolong Perbaiki Ya Klu Buat Sw Suka Burem,3
bagusss mantaabb👍👍,5
"mantap luar biasa mempermudah komunikasi dan memberikan kenyamanan pada pengguna trimakasih untuk WhatsApp yang telah memberikan aplikasi sebagus dan secanggih ini semoga kedepannya aplikasi ini semakin berkembang dengan bagus lagi,tetap fokus dan bekerja keras untuk kelangsungan hidup umat manusia di bumi ilmu yang anda berikan sangat bermanfaat good job my WhatsApp sangat istimewa dan luar biasa mantapp mantap mantap dan sangat memuaskan salam sukses untuk para pekerja keras dimanapun kalianaa",5
Ok bgt,5
Bagus,5
Kamera belakang tidak bisa dipake,1
Apa gak jelas kena spam² terus padahal udah ganti kartu 100 kali,1
Bagus aplikasi ini,5
Terimakasi,3
bagus,5
Mantap,5
Adecg saya ganti dl bintang nya masak kirm gambar hitam dan loading lama setelah di perbaharui gak jelas ini wa,2
ini kenapa wa ko begini,1
tiba tiba WhatsApp saya tidak bisa di gunakan,5
"Ini whatsapp demen banget tiba-tiba spam, udah seminggu nomor ga bisa di pake, dulu udah pake kata2 sehari kelar bisa ini udah seminggu menghubungkan terus",1
Gaktau,5
mantap,1
Saya bisa chat teman saya,5
suruh update tapi sudah update,1
Ok,5
Bagusss,5
Kenapa saya tidak bisa masuk di akun WhatsApp,5
kenapa saya tidak bisa mendowload apk wa,1
Pemberitahuan cht dipulihkan/cadangkan di klik oke setelah proses malah cht hilanh!,2
SANGAT BURUK KARNA SERUNG KENA BLOKIR WHATSHAP NYAH JADI SETIAP MAU BUKA WA SERING DI BLOKIR SAAM ADMIN WHATSHAP,1
Ayo bisa dondlod wa,5
WhatsApp nya Errol,5
Bantu saya buat masuk wa,5
Sangat bagus dan berguna,5
WhatsApp Messenger lebih mudah dalam berkomunikasi,5
Sngat bagus,5
😍👍👍,5
Ok,5
saya sudah meng update aplikasi ini tapi kenapa belum ada fitur baru seperti menambahkan musik di status???,1
saya mau meta ia di WhatsApp saya,5
bagus dah,4
bubble caht nya belum bisa diganti warna,4
Bagus,5
bisa chtan sama besti,5
Sudah 5 x WhatsApp sayavdi blok tanpa pemberitahuan,2
Mengapa ada pemblokiran?????,4
tolong hilangkan fitur sekali lihat bang 🙏,5
"Abis pembaharuan Malah Close gak bisa di buka .. device vivo Y50 ,versi android 10",1
Gk bisa di buka,5
Baru coba mudah mdhan lancar,5
Aplikasi WhatsApp ini sangat bagus untuk Keperluan kita sehari hari misalnya belajar Dan lain lain,5
Bagus sekali,3
Bagus,5
UPDATENYA PUNYA AKU UDAH KETINGGALAN BANYAK BANGET FITUR² BARU JUGA BELUM KELUAR TOLONG DI PERBAIKI LAGI🙏,3
Gooooooddddd,5
firpikasi wa bermasalah,5
Ketika pesan Maxim barang tidak sampe...,5
Apakah bisa support di hp mobile phone,5
"Habis di update kameranya malah jadi gelap bgt, menyesal update sih jujur",1
"Terus terusan melakukan penangguhan sampai harus memulai daftar baru tanpa alasan jelas dan seenaknya. Mengecewakan. Padahal tidak melakukan apa apa yg berbahaya, tidak ada kata2 kasar atau apapun itu. Pelayanan yg merepotkan. Otp ga masuk, otp call ga ada call kesini. Bener bener jelek banget. Habis waktu.",1
woii guaa kapan dapet chat pinkkkk guaa mauuu theme chat pink plss😭😭,5
saya ingin WhatsApp versi Beta,4
Tlg donk di perbaiki ..sejak update tggl 4/12 kmrin smpai saat ini klo poting foto buat story gk pernah bisa n selaku loadingx lam,2
ok,5
Sangat membantu,4
Nyaman,5
Bagus,5
Bagus,5
Knp aku WhatsApp saya kena spam,5
tolong perbaiki bug kamera belakang sangat menganggu,3
"Aplikasi ini sangat membantu saya untuk berkomunikasi sama keluarga dan teman teman saya.jadi saya kasih bintang 5,dan aplikasi ini juga menambah meta ai yang membantu saya",5
Asalamuallaikum ka saya sebagai irt tetapi saya punya usaha jualan kue kering salah datunya ya itu kripik pisang dan lain - lain akan tetapi blm punya logo dan lebel halal karena saya hidup di kampung jadi saya mohon di bantu masalah logo / mereknya,5
genapa wa saya di tutup,2
knp status d WhatsApp GK bsa video... bacaan format tidak di dukung smntra sebelum d update msih bsa buat status video,2
Ok,5
MB terlalu besar bagi hp android internal penuh.,1
pelayanan memuaskan,5
Bagus,5
Kok ngirim pesan ngejam ya giliran ke orang lain enga,1
We selalu kena spam,5
mudah di akses,5
Bagus banget bisah melepas rindu sama keluarga,1
Mantap banget aplikasi nya,5
ok sangat memuaskan,5
oke,5
Seneng mempunyai Whatsapp ini dapat mengecet teman atau pacar nya masing masing saya sangat seneng mempunyai whatsapp ini saya ingin berterima kasih ke pada Whatsapp ini karena Whatsapp ini sangat berguna dan penting bagi orang remaja dan orang tua dan sebagai nya saya sekali lagi berterima kasih kepada Whatsapp ini saya do'akan semoga Whatsapp ini dapat berguna seterusnya aminnnn 🙏 Terima kasih kepada Whatsapp ini saya berdo'a kepada Tuhan yang Maha Esa. Biar kan lah Whatsapp ini,5
Cung yg download wa karena hp di riset jarak jauh,1
Sangat bagusss👍👍👍👍,5
Aplikasi nya bagus bisa buat nelpon pokonya bagus,5
WhatsApp memudahkan kita berkomunikasi dengan cepat dan baik,5
Udah di unduh tapi tulisanya harus menggunakan whatsapp resmi,1
Aplikasinya sangat berguna untuk berkomunikasi,5
Sangat bagussss,5
😊🤝😃,5
wellll....,5
ini kenap buat status gakbisa ya,2
Tepat dan jelas,5
Kualitas nya sangat bagus saya suka,5
Susunan sttus paling jelek sedunia,1
interesting,5
"WhatsApp skrng g jls, kenapa sekarang akun saya selalu di blokir trus trus alasanny karena ketidak sengajaan, sudah 2 minggu begini terus....",1
"sorry what up, the photos sent in the group are now all in the gallery, to the point where I can't open WhatsApp myself!!. Do something so that WhatsApp memory doesn't fill up because of the photos in the group!",1
"terlalu lama update nya. sudah di update tetap tidak bisa menggunakan fitur terbaru, tolong diperbaiki ya WhatsApp👍🏼",1
Sangat membantu,4
Jangan pakek kadaluarsa boss,5
Bgus,1
Baik,5
Saya mau masuk watsaf tolong kasih no veripokasi,5
kuk aku ga ada whatsapp meta ai ya?,5
Cepat,5
tolong buat di wa saya fitur bisa melihat sw barapa kali di putar,5
Bagus,5
"izin bertanya 🙏ini gimana ya min kok wa saya tiba"" kena spamm , di suruh update udah di update tapi masih ngga bisa di gunakan masih aja kena spam ,apa karena telat update min ,tolong bantuanya pihak WhatsApp 🙏",5
25u0dwg yang paling,5
Bagus banget TPI d abdet lama banget minimal cepat kek,5
Bagus,5
Uya,5
Lumayan membantu,2
WhatsApp kurang suka sama aplikasinya nomer udah ganti2 tapi tetep kenak spam,2
Bagus,5
Ini kenapa ya setelah saya update malah banyak sekali bug nya? Kek ngirim story jadi susah ngirim foto juga susah tolong perbaiki pliss 🙏🙏,2
Kek mana download nya?,5
Ok,5
Bgus,5
Good,5
Mayan enk tapi jangan sering dikit dikit update gini ga suka karna ya dikit dikit kerubah kerubahh gitu,3
Good,5
bagus banget,4
Sempat kebolkir makanya menginstal lagi,5
terimakasih whatsapp. oke bgt,5
"pas saya vc, terus buka kamera hp, fitur kamera di vcnya tdk mau nyala lg😡",3
susah updet status video,5
bags sekali,5
Bagus,4
Pengen proxy nya aktif,5
"Belum ada vitur nge tag nya, lama betul",4
Sangat bagus,5
setiap pasang story wa selalu blur dan pecah,1
whatsapp adalah salah satu APLIKASI untuk menelpon. vidio chol . dan buat bikin status,5
update biar support video 1080 pixel/4k,3
Saya tidak bisa daftarkan nomor saya,1
sangat membantu sekali,5
Sangat bagus,5
WhatsApp nya melambat,1
"pertama saya ga ada ngespam terus wa saya terblokir karna spam, padahal disitu posisi nya malah saya baru mengeluarkan diri dari grup yang sangat ramai,kok malah jdi saya yang kena,hingga sekarang wa saya susah masuk padahal banyak orang orang penting didalam nya,kedua saya ga bisa ngirim vidio,dimanapun itu kayak chatan, status,terus saluran saya,tetep ga bisa,tolong segera diperbaiki",1
Story WhatsApp kembalikan seperti dulu. Sesuai waktu terbaru muncul paling atas.,2
Dikit2 di kira spam,1
sangat baik dan memudahkan untuk berkomunikasi,5
Sangat bagus digunakan,5
bguss,5
"Baik, sudah jelas nelpon dan lebih ditingkatkan lagi fitur Keamanan",5
Saya kasih empat bintang dulu,4
sangat bagus dan sangat menyenangkan kan,5
Hapus gif berkonten pornografi,5
Sangat bagus,4
Kenapa di whatsapp saya tidak ada meta AI,5
Sangat bermanfaat,5
Di BI BII,4
"setelah di update foto/video yg diterima ga masuk ke galeri,pdhl biasanya otomatis masuk",3
Fitur terbaru meta AI belum ada semua,5
ga ngapa ngapain tapi kena blok,1
Jozzzzzz pokok ea,5
"ini gimana ya saat hapus sampah cacah tuh kenapa foto,vidio malah ikutan ilang...",3
Mantap,5
Bagus,5
Baik,5
rorrrrrrrrrrr,5
Wirasuata buruh,2
Mantap,5
Bagus bgtt kalo lagi pengen ngobrol sama temen tapi jauhan tinggal lewat cht aja🥰,5
BaguS,5
"Biasanya lancar² aja kalo mau update story video, skrg kok susah ya malah ada ket file tidak di dukung terus gak bisa bikin story. padahal di aplikasi lain bisa loh.. kenapa ini whatsapp ??",4
🛫🛫🛫,5
aplikasi nya bgs bgt sangat membantu untuk berkomunikasi 😀,5
Terbaik,5
WhatsApp GK bisa kirim video..,1
Lumayan,5
Kasih fitur biar kalau upload vidio atau foto nggak blur,5
Ok,5
Sayangnya fitur musik blm ada di HP saya,4
Mantap,5
Good,5
Bagus,5
"Makin lama makin aneh, WA khusus untuk kerja kena spam Tiap hari kena spam Gemana saya bisa tau alamat CS'a tanpa WA,. Pakek no telpon biasa,gak d angkat"". Makin parah WhatsApp sekarang. 👎👎👎",1
"udah bagus bngat, apalagi dengan kehadiran fitur² barunya . tapi tolong adain WHATSAPP MODE GRATIS😭",5
Aku uda updet WA ya berkali²🥲 Tapi belum ada efek ya semoga cepat di luncurkan secara otomatis ke WA aku supaya ada efek ya ketika VC,4
"Min,tolong kembalikan chat terkunci lagi,ini bug/gimana ni🗿",4
Ok,5
"Knp pas saya mau kirim foto,selalu gelap? Pdhal udh update,perbaiki dongg,aneh bngett",1
Emm,5
Mantap,5
"Pelayanan yg sangat buruk, memblokir tanpa alasan yg jelas, dan minta peninjauan udah aktif lalu di blokir lagi, sampe berulang""",1
BAGUS BEGETE,5
Bagus,4
WA saya kena SPAM.. Mengapa?,5
bagus,5
Hmmm .... ribet klo pas harus perbaharui wa,4
WhatsApp nya terlalu bagus banget,5
Aplikasi sangat bgus,5
Mantap pokonamh,4
Bagus min,5
keren,5
Mantap,5
Saya tidak bisa memakai apk ini awal pakai selalu diblokir dan sekarang disuruh instal versi resmi.setelah di instal tetap GK bisa digunakan,5
Bisa di instal tapi tidak mau terbuka,1
Iya aman,5
PUNYA SAYA KOK GA ADA TEMANYAA ANJIRRR DAH DARI LAMA GA MUNCUL MUNCUL CAPE NUNGGU KEK NUNGGU DIA YG GA BALIK BALIK😔😔🫵🏻🫵🏻,4
Omg jadi aku bisa ucapin temen aku pas lagi ulang tahun,5
Belum ada fitur lagu di saya padahal whatsApp nya sudah di update,1
"kenapa watsap aku gak bisa di buka ya padahal udah di masukan nomer hp,trus harus di download lagi,udah di download tapi katanya watsap anda spam,maksud nya gimana ya kurang paham 🙏",1
aku suka banget bisa chat-an sama bestie beri aku kasih bintang 5,5
Resolusiii😭,3
Mohon di bantunya,1
saya kasih bintang' lima tapi bug nya hilangin aku gak bisa chat di grub tolong pihak WhatsApp,5
Dengan pembaharuan lebih mempermudah dalam menemukan solusi dalam beraktivitas.,5
wa aku kenapa belum ada fitur musik gitu? tolong di aktifkan fitur musik nya di wa aku,2
pembaruan Cht gw ilang semua,1
Kenapa gk bisa masuk wa,1
"Kenapa tiap dapatvpesan voice note gak ada suara,harus di unsital,baru di instal lagi baru ada..gak lama gak bisa lagi",2
Stiker WA saya jadi hilang ketika di update,2
Bagus,4
Story jadi tidak beraturan kadang ada history yg tidak tampil padahal tidak sedang di privasi,2
"Kenapa WhatsApp saya di ban permanen. Apa yg salah dengan WhatsApp saya. Saya kerja ngirim informasi, data dll dari WhatsApp juga. Mohon ditinjau kembali. Klien saya jadi pada lari semua. plisss kembaliin akun WhatsApp saya",1
"Udah dua kali akun saya diblokir terus oleh pihak whatsapp, padahal ga pernah bikin kesalahan dalam menggunakan akun, sangat tidak nyaman, kecewa...",1
pliss lahh woyyy gw kena spam Mulu padahal ga ada yang spam wa gw sepi tolong lah WhatsApp gw cape nungguin WhatsApp yang kena spam 7 jam sehari pas udah terverifikasi pas udah bisa malah kena spam lagi belum juga semenit demi Allah WhatsApp ga jelas sama sekali,1
"Ease, friendly",5
Whatsapp sangat berguna,5
Anti spyware Dan ok,5
sudah bagus,5
"baru 2 minggu di update udah harus update lagi, kalo ngga kaga bisa di pake, ngabisin memo mending kaya yang dulu kaga usah ribet nyediain banyak fitur ga berguna, cukup ngirim pesan, telpon, sama video call.",1
"bug pesan tidak terkirim itu sangat mengganggu saya,,tolong perbaiki bug itu",4
biasa aja .,5
Terimakasih,5
"Parah WA sekarang, udah 5 hari ngebug setelah update sistem, buat kirim foto atau video layar jadi item dan lemot di HP, mohon segera diperbaiki lagi",1
Sinyal jelek,3
Bguss,5
"Lancar urusan dgn aplikasi ini, trims",5
tetap rate 5 bintang meskipun tida ada org yang perng ngecht,5
"Kenapa sekarang sering ilang sendiri namanya, ada iklan nya juga, min tolong di perbaiki lagi",3
ketika telpon sangat tidak jelas jika lawan telpon kita lagi lag atau apa apa suaranya tidak jelas mohon perhatikan penggunaan telpon ke yang lebih jernih lagi😮‍💨😮‍💨,1
Good,5
Tolong diperbaiki gc nya agar ga limit limit dan WA nya diperkuat supaya jarang keblok,1
Mantap,5
Sangat ok,5
Oke walau pun kalah,5
udah pembaharuan sistem masih belom muncul Meta AI,1
Bagusssss,5
"tolong tambahkan fitur hapus daftar chat untuk semua orang seperti telegram, untuk menjaga privasi lebih baik lagi, sehingga nomor kita tidak mudah tersebar",1
apa apaan nih ngtd gua lagi push rank malah kepencet,5
"Kenapa WhatsApp saya kena spam apa kesalahan saya tolong beri tahu alasannya, karna saya tidak pernah melanggar atau menggunakan secara tidak baik",1
knpa wa skrng ga bisa aplud video di setori,5
Bagus sih tuk memudahkan kita komunikasi sama keluarga atau teman,4
Ari,1
Suami ldr,5
luarbiasa bagus,5
Oke,5
Good job,5
Kualitas storynya dibagusin lah dikit,3
𝐚𝐩𝐤𝐧𝐲𝐚 baguss🙏,3
Sangat bermanfaat,5
Good,5
"tolong kebijakan dari pihak WhatsApp ,kenapa akhir"" ini WhatsApp saya sering error dan ada tulisan spam?padahal saya tidak melanggar apapun.dan kenapa ya seminggu bisa 2x kena?saya tidak melanggar aturan .malahan ini WhatsApp cuma buat keluarga dan teman saya kontaknya.tolong dong klarifikasi soal masalah ini.soal nya ini sangat amat merugikan bagi saya .jadi tidak bisa menghubungi keluarga saya dan teman""saya.",3
bgus bngttt aku sukaaa bngt,5
"plisss WA yg skrng jelek, masak sw nya kyk fb",2
Ok,5
"tolong untuk buat whatsApp saya jadi terupdate lebih cepat, saya ingin memberi pesan kepada meta ai",3
Ok,5
Bagus terpercaya,5
Semoga lebih baik,4
Lokasi yg mau di tuju berubah,1
👍,5
Tolong bantu saya Cara chat AI Meta Yang Sekarang.,3
tampilan pembaharuan atau update status masih enak yang kemarin drpd yang sekarang sktol ke samping karena yang kemarin terlihat statusnya dan lebih tertarik drpd yang sekarang hanya gambar profil personal saja,4
Sudah meningkat,5
kenapa waktu saya Video call selalu putus-putus padahal sinyal dan jaringan saya bagus untuk meliat video di Instagram,1
Baik,5
Pasang story resolusinya jadi burikk,1
Aplikasi Whats ap Sangat Membantu Berkomunikasi dengan Berbagai Fitur di Dalamnya..,5
Kok WhatsApp aku vidio call ga ada efeknya,2
bagus,5
Sangat memuaskan,5
"apa yg membuat whatsapp saya tdk bs membuat Status... baik itu whatsapp, atau whatsapp bussines... sdh setting jam dan lain² sdh benar",2
Wa sangat cepat,3
Saya puas dg yg di berikan whatsApp,3
Sangat memuaskan Sangat bagus,5
cukup bgus,5
Mantap,5
Sangat bagus,5
Ok,5
Ok,5
Bagus pakai whatsapp ini cukup membantu berkumikasi sesama teman dan keluarga.,5
Update mulu bjir,5
"JABER ,ARI",5
suka keluar sendiri ngak konsisten dengan para penguna,5
Good aplikas,5
GK bisa di pakai apk ny gimana?,1
bagus,5
Lebih bagus,3
Jelekk,5
"Bikin sw storry video pecah,,tolong di perbaiki",3
💭💭,5
Mantap,5
bagusss bangett,5
min cara mendapat kan meta Ai gimana min saya udah update baru saja ke versi 2.24.24.77..apakah karena tergantung perangkat hp atau semacamnya? mohon penjelasannya,5
Gacor apk💥🔥🔥🔥,5
Seruu,5
Kok meta ai saya belum ada padahal sudah update,1
Gk bisa masuk ke washtapp,5
Nice apk,5
Bgus,5
"gaaa adaaa buble cht nya,terus knpa ga ada bermacam""warna tema, padahal yang lain uda ada,tapi aku ko ga ada☹️☹️☹️",2
Jos,5
Knp ini kok pengen di update mlh memori penuh kan saya cmn pengen update whatsapp kta nya disuruh di update ydh saya update pdhl semua aplikasi yg gk penting tu udh sya hapus semua tolong perbaiki lgi kualitas dan perangkat nya kdang saya juga klo mau ngunduh foto mlh burem pdhl itu HD loh sma aja video juga kya gitu. Tolong perbaiki lgi kualitas nya sya skrng bnyk grup sekolah loh nnti gimana mau dpt info atau pengumuman nya. Jdi rat nya -0/10,1
Apk inj sanggat bagus saya suka🙌💩💩💩💩 Anjaiii,5
Mun tak usa update a nape gi?,3
Mantap,5
Woke,5
Sangat bagus,5
makin bagus w.a,5
Sangat membantu Dalam komunikasi Dan pekerjaan,5
"Pokoknya Keren Banget di Coba Kualitasnya,,? Dan Yang Terbaik,",5
bagus,5
apa maksud format file tidak didukung? saya sudah mengupdate WA tapi tetap saja tidak bisa,1
I love whatsapp,5
Naice,5
menguras paket saya...saya telah mengulang download tapi tidak bisa masuk! apk aneh saya ingin melakukan cod,1
aplikasi ini sangat bagus,5
Bagus bermanfaat,5
Mantap,5
Saya sangat terbantu dengan adanya whatsApp ini bisa melancarkan komunikasi,5
bug susah mengirim foto,1
👍,5
Ga bisa login,1
"Sangat jelek,",1
Ok,5
Mantaap🇲🇹,4
Apk seluruh manusia,5
Sangat sangat membantu,5
"Kenapa sering Error, chat tidak bisa terkirim",4
What up saya hilang,5
"Halo admin whatsapp saya mohon buka kembali akun whatsapp saya karena saya tidak melakukan spam saat ini kemungkinan akun whatsapp saya sedang di retas oleh orang yang tidak bertanggung Jawab dan melakukan pelanggaran saya mohon buka akun whatsapp saya karena sangat penting untuk saya, terimakasih",4
Bagus,5
"saya habis download video dri apk lain terus mau up ke story wa malah sound nya jd kecil banget, trs juga ngotak dikit dong, masa udh susah susah nge hd in video/foto + udah make mode hd tetep ancur",1
Nada suwara wa gak yala,4
Bagusssssss bngettt plissdd tpii ada apdett buatt gantii chett nyaaaa gk bisaaa yang akuu maaaaa😔😔😔😔,5
Lebih bagus lagi ditambah fitur bisa siaran langsung di whatsapp makin keren kali yaa,5
Dapat membantu saya,4
Sangat membantu,5
mantap pokonya,5
Sangat bagus,5
"waa gausaaa delayy"" muluu ishh, kasiann cowoo akuu",5
Baik,5
Bagus,4
"aplikasi yang sangat membantu ,btw aku sering update tapi blom muncul juga berbagai warna tema .hehe",5
"Untuk pilihan Warnanya kurang lengkap. Kalau bisa kasih pilihan yang lebih banyak lagi seperti Biru tua, Merah Tua, kuning terang, kuning kehijauan, dll . Dan tolong untuk chat orang lain bisa diubah warnanya. Terima kasih",5
Bagus oke,5
belum ada untuk taro audio,1
goat,5
Mantap,5
Tolong WA gua ke banned padahal gua gak lakukan apa permanen pula itu no pribadi gua udh 2 tahun pliss bantu 🙂,2
Tolong perbaiki bug nya segera saat mau mengirim foto video maupun file. Sangat menghambat pekerjaan saya.,1
Ini bermanfaat untuk keluarga ku✨❤️❤️,3
Good,5
Ok,5
sangat membantu dgn aplikasi wassp,5
"kok tidak berubah sma sekali, tolong perbaiki lagi",1
GK bisa buka aplikasi nya,1
Bagus,5
Wooow keren,5
Baguss,5
